Source : France Travail - STMT, Données brutes
Demandeurs d’emploi inscrits en fin de mois à France Travail par Commune de plus de 5000 hab. - France entière - Février 2024 - Données brutes
https://statistiques.pole-emploi.org/stmt/defm?nk=0&pp=las&ss=1
Commune de plus de 5000 hab.;Nombre de demandeurs d'emploi
Dole 39100; 2 180
Dombasle-sur-Meurthe 54110;  690
Domène 38420;  430
Domérat 03410;  680
Domont 95330; 1 240
Dompierre-sur-Mer 17139;  460
Donges 44480;  700
Donzère 26290;  690
Douai 59500; 6 220
Douarnenez 29100; 1 870
Douchy-les-Mines 59282; 1 500
Doué-la-Fontaine 49700; 1 020
Doullens 80600;  720
Dourdan 91410;  810
Dourges 62119;  610
Douvaine 74140;  560
Douvres-la-Délivrande 14440;  370
Douvrin 62138;  520
Draguignan 83300; 4 130
Drancy 93700; 7 180
Drap 06340;  460
Draveil 91210; 2 160
Dreux 28100; 4 450
Drusenheim 67410;  340
Ducos 97224; 1 860
Dugny 93440; 1 300
Dunkerque 59140; 10 330
Eaubonne 95600; 1 820
Eaunes 31600;  620
Échirolles 38130; 3 790
Eckbolsheim 67201;  550
Écouen 95440;  580
Écully 69130; 1 260
Égletons 19300;  350
Égly 91520;  520
Éguilles 13510;  630
Élancourt 78990; 2 040
Elbeuf 76500; 2 580
Elne 66200; 1 520
Elven 56250;  520
Embrun 05200;  740
Émerainville 77184;  580
Enghien-les-Bains 95880;  820
Ensisheim 68190;  550
Ensuès-la-Redonne 13820;  410
Entraigues-sur-la-Sorgue 84320;  850
Entre-Deux 97414; 1 400
Entrelacs 73410;  370
Epagny Metz-Tessy 74330;  640
Épernay 51200; 2 520
Épernon 28230;  500
Épinal 88000; 3 710
Épinay-sous-Sénart 91860; 1 190
Épinay-sur-Orge 91360;  690
Épinay-sur-Seine 93800; 5 670
Épône 78680;  620
Éragny 95610; 1 540
Erdre-en-Anjou 49220;  390
Ergué-Gabéric 29500;  570
Ermont 95120; 2 530
Ernée 53500;  360
Erquinghem-Lys 59193;  350
Erstein 67150;  850
Esbly 77450;  440
Escalquens 31750;  540
Escaudain 59124; 1 250
Eschau 67114;  350
Essey-lès-Nancy 54270;  770
Estaires 59940;  500
Esvres 37320;  390
Étampes 91150; 2 530
Étaples 62630; 1 000
Étoile-sur-Rhône 26800;  420
Étréchy 91580;  340
Eu 76260;  600
Évian-les-Bains 74500; 1 030
Évreux 27000; 6 330
Évron 53600;  540
Évry 91000; 7 680
Eybens 38320;  830
Eyguières 13430;  710
Eysines 33320; 2 230
Ézanville 95460;  760
Fabrègues 34690;  730
Faches-Thumesnil 59155; 1 780
Falaise 14700;  860
Fameck 57290; 1 600
Farébersviller 57450;  690
Faulquemont 57380;  490
Faverges 74210;  670
Fayence 83440;  530
Fécamp 76400; 1 790
Fegersheim 67640;  370
Feignies 59750;  800
Fenain 59179;  540
Fenouillet 31150;  600
Ferney-Voltaire 01210;  920
Ferrière-la-Grande 59680;  690
Feurs 42110;  610
Feytiat 87220;  410
Feyzin 69320; 1 110
Figeac 46100;  940
Fillière 74570;  570
Firminy 42700; 2 030
Fismes 51170;  550
Flers 61100; 1 830
Flers-en-Escrebieux 59128;  710
Fleurance 32500;  530
Fleury-les-Aubrais 45400; 2 340
Fleury-Mérogis 91700;  880
Fleury-sur-Orne 14123;  720
Flines-lez-Raches 59148;  460
Floirac 33270; 2 170
Florange 57190; 1 190
Florensac 34510;  570
Foix 09000; 1 220
Fondettes 37230;  710
Fonsorbes 31470; 1 010
Fontaine 38600; 2 190
Fontainebleau 77300; 1 180
Fontaine-lès-Dijon 21121;  570
Fontaines-sur-Saône 69270;  540
Fontenay-aux-Roses 92260; 1 670
Fontenay-le-Comte 85200; 1 250
Fontenay-le-Fleury 78330; 1 070
Fontenay-sous-Bois 94120; 4 580
Fontenay-Trésigny 77610;  410
Fontenilles 31470;  350
Forbach 57600; 2 790
Forcalquier 04300;  590
Fort-de-France 97200; 10 530
Fosses 95470;  840
Fos-sur-Mer 13270; 1 420
Fouesnant 29170;  680
Fougères 35300; 2 100
Foulayronnes 47510;  400
Fouquières-lès-Lens 62740;  620
Fourmies 59610; 1 800
Francheville 69340; 1 040
Franconville 95130; 3 110
Franqueville-Saint-Pierre 76520;  370
Fréjus 83600; 6 500
Fresnes 94260; 2 210
Fresnes-sur-Escaut 59970;  970
Freyming-Merlebach 57800; 1 460
Frontignan 34110; 2 610
Fronton 31620;  500
Frouard 54390;  650
Frouzins 31270;  750
Fumel 47500;  490
Furiani 20600;  440
Fuveau 13710;  790
Gagny 93220; 3 710
Gaillac 81600; 1 810
Gaillard 74240; 1 360
Gaillon 27600;  780
Gambsheim 67760;  310
Gan 64290;  370
Gannat 03800;  510
Gap 05000; 3 730
Garches 92380; 1 110
Gardanne 13120; 2 260
Garéoult 83136;  420
Gargenville 78440;  650
Garges-lès-Gonesse 95140; 4 730
Garons 30128;  510
Gauchy 02430;  590
Geispolsheim 67400;  480
Gémenos 13420;  480
Genas 69740;  710
Genay 69730;  360
Genlis 21110;  440
Gennes-Val-de-Loire 49350;  770
Gennevilliers 92230; 5 850
Gentilly 94250; 1 800
Gérardmer 88400;  630
Gerzat 63360;  920
Gévezé 35850;  420
Gex 01170; 1 200
Gien 45500; 1 660
Gières 38610;  430
Gif-sur-Yvette 91190; 1 050
Gigean 34770;  650
